+---------+------------+-----------+------------+
| s_id    | 氏名       | work_time | r_date     |
+---------+------------+-----------+------------+
| DA00001 | 大門一郎   |         8 | 2012-12-01 |
| DA00001 | 大門一郎   |        10 | 2012-12-02 |
| DA00001 | 大門一郎   |         8 | 2012-12-05 |
| DA00001 | 大門一郎   |         9 | 2012-12-06 |
| DA00001 | 大門一郎   |         8 | 2012-12-07 |
| DA00001 | 大門一郎   |         8 | 2012-12-08 |
| DA00001 | 大門一郎   |         9 | 2012-12-09 |
| DA00001 | 大門一郎   |         8 | 2012-12-12 |
| DA00001 | 大門一郎   |        10 | 2012-12-13 |
| DA00001 | 大門一郎   |         9 | 2012-12-14 |
| DA00001 | 大門一郎   |         8 | 2012-12-15 |
| DA00001 | 大門一郎   |         8 | 2012-12-16 |
| DA00001 | 大門一郎   |         8 | 2012-12-19 |
| DA00001 | 大門一郎   |         8 | 2012-12-20 |
| DA00001 | 大門一郎   |         9 | 2012-12-21 |
| DA00001 | 大門一郎   |         8 | 2012-12-22 |
| DA00001 | 大門一郎   |        10 | 2012-12-23 |
| DA00001 | 大門一郎   |         8 | 2012-12-26 |
| DA00001 | 大門一郎   |         8 | 2012-12-27 |
| DA00001 | 大門一郎   |         8 | 2012-12-28 |
| FU00001 | 藤井雄太   |         8 | 2012-12-01 |
| FU00001 | 藤井雄太   |        10 | 2012-12-02 |
| FU00001 | 藤井雄太   |         8 | 2012-12-05 |
| FU00001 | 藤井雄太   |         9 | 2012-12-06 |
| FU00001 | 藤井雄太   |         8 | 2012-12-07 |
| FU00001 | 藤井雄太   |         8 | 2012-12-08 |
| FU00001 | 藤井雄太   |         9 | 2012-12-09 |
| FU00001 | 藤井雄太   |         8 | 2012-12-12 |
| FU00001 | 藤井雄太   |        10 | 2012-12-13 |
| FU00001 | 藤井雄太   |         9 | 2012-12-14 |
| FU00001 | 藤井雄太   |         8 | 2012-12-15 |
| FU00001 | 藤井雄太   |         8 | 2012-12-16 |
| FU00001 | 藤井雄太   |         8 | 2012-12-19 |
| FU00001 | 藤井雄太   |         8 | 2012-12-20 |
| FU00001 | 藤井雄太   |         9 | 2012-12-21 |
| FU00001 | 藤井雄太   |         8 | 2012-12-22 |
| FU00001 | 藤井雄太   |        10 | 2012-12-23 |
| FU00001 | 藤井雄太   |         8 | 2012-12-26 |
| FU00001 | 藤井雄太   |         8 | 2012-12-27 |
| FU00001 | 藤井雄太   |         8 | 2012-12-28 |
| FU00002 | 藤岡幸太郎 |         8 | 2012-12-01 |
| FU00002 | 藤岡幸太郎 |        10 | 2012-12-02 |
| FU00002 | 藤岡幸太郎 |         8 | 2012-12-05 |
| FU00002 | 藤岡幸太郎 |         9 | 2012-12-06 |
| FU00002 | 藤岡幸太郎 |         8 | 2012-12-07 |
| FU00002 | 藤岡幸太郎 |         8 | 2012-12-08 |
| FU00002 | 藤岡幸太郎 |         9 | 2012-12-09 |
| FU00002 | 藤岡幸太郎 |         8 | 2012-12-12 |
| FU00002 | 藤岡幸太郎 |        10 | 2012-12-13 |
| FU00002 | 藤岡幸太郎 |         9 | 2012-12-14 |
| FU00002 | 藤岡幸太郎 |         8 | 2012-12-15 |
| FU00002 | 藤岡幸太郎 |         8 | 2012-12-16 |
| FU00002 | 藤岡幸太郎 |         8 | 2012-12-19 |
| FU00002 | 藤岡幸太郎 |         8 | 2012-12-20 |
| FU00002 | 藤岡幸太郎 |         9 | 2012-12-21 |
| FU00002 | 藤岡幸太郎 |         8 | 2012-12-22 |
| FU00002 | 藤岡幸太郎 |        10 | 2012-12-23 |
| FU00002 | 藤岡幸太郎 |         8 | 2012-12-26 |
| FU00002 | 藤岡幸太郎 |         8 | 2012-12-27 |
| FU00002 | 藤岡幸太郎 |         8 | 2012-12-28 |
| HA0002  | 葉山俊輔   |         8 | 2012-12-01 |
| HA0002  | 葉山俊輔   |        10 | 2012-12-02 |
| HA0002  | 葉山俊輔   |         8 | 2012-12-05 |
| HA0002  | 葉山俊輔   |         9 | 2012-12-06 |
| HA0002  | 葉山俊輔   |         8 | 2012-12-07 |
| HA0002  | 葉山俊輔   |         8 | 2012-12-08 |
| HA0002  | 葉山俊輔   |         9 | 2012-12-09 |
| HA0002  | 葉山俊輔   |         8 | 2012-12-12 |
| HA0002  | 葉山俊輔   |        10 | 2012-12-13 |
| HA0002  | 葉山俊輔   |         9 | 2012-12-14 |
| HA0002  | 葉山俊輔   |         8 | 2012-12-15 |
| HA0002  | 葉山俊輔   |         8 | 2012-12-16 |
| HA0002  | 葉山俊輔   |         8 | 2012-12-19 |
| HA0002  | 葉山俊輔   |         8 | 2012-12-20 |
| HA0002  | 葉山俊輔   |         9 | 2012-12-21 |
| HA0002  | 葉山俊輔   |         8 | 2012-12-22 |
| HA0002  | 葉山俊輔   |        10 | 2012-12-23 |
| HA0002  | 葉山俊輔   |         8 | 2012-12-26 |
| HA0002  | 葉山俊輔   |         8 | 2012-12-27 |
| HA0002  | 葉山俊輔   |         8 | 2012-12-28 |
| KA00001 | 川口裕子   |         8 | 2012-12-01 |
| KA00001 | 川口裕子   |        10 | 2012-12-02 |
| KA00001 | 川口裕子   |         8 | 2012-12-05 |
| KA00001 | 川口裕子   |         9 | 2012-12-06 |
| KA00001 | 川口裕子   |         8 | 2012-12-07 |
| KA00001 | 川口裕子   |         8 | 2012-12-08 |
| KA00001 | 川口裕子   |         9 | 2012-12-09 |
| KA00001 | 川口裕子   |         8 | 2012-12-12 |
| KA00001 | 川口裕子   |        10 | 2012-12-13 |
| KA00001 | 川口裕子   |         9 | 2012-12-14 |
| KA00001 | 川口裕子   |         8 | 2012-12-15 |
| KA00001 | 川口裕子   |         8 | 2012-12-16 |
| KA00001 | 川口裕子   |         8 | 2012-12-19 |
| KA00001 | 川口裕子   |         8 | 2012-12-20 |
| KA00001 | 川口裕子   |         9 | 2012-12-21 |
| KA00001 | 川口裕子   |         8 | 2012-12-22 |
| KA00001 | 川口裕子   |        10 | 2012-12-23 |
| KA00001 | 川口裕子   |         8 | 2012-12-26 |
| KA00001 | 川口裕子   |         8 | 2012-12-27 |
| KA00001 | 川口裕子   |         8 | 2012-12-28 |
| KA00002 | 加藤昭雄   |         8 | 2012-12-01 |
| KA00002 | 加藤昭雄   |        10 | 2012-12-02 |
| KA00002 | 加藤昭雄   |         8 | 2012-12-05 |
| KA00002 | 加藤昭雄   |         9 | 2012-12-06 |
| KA00002 | 加藤昭雄   |         8 | 2012-12-07 |
| KA00002 | 加藤昭雄   |         8 | 2012-12-08 |
| KA00002 | 加藤昭雄   |         9 | 2012-12-09 |
| KA00002 | 加藤昭雄   |         8 | 2012-12-12 |
| KA00002 | 加藤昭雄   |        10 | 2012-12-13 |
| KA00002 | 加藤昭雄   |         9 | 2012-12-14 |
| KA00002 | 加藤昭雄   |         8 | 2012-12-15 |
| KA00002 | 加藤昭雄   |         8 | 2012-12-16 |
| KA00002 | 加藤昭雄   |         8 | 2012-12-19 |
| KA00002 | 加藤昭雄   |         8 | 2012-12-20 |
| KA00002 | 加藤昭雄   |         9 | 2012-12-21 |
| KA00002 | 加藤昭雄   |         8 | 2012-12-22 |
| KA00002 | 加藤昭雄   |        10 | 2012-12-23 |
| KA00002 | 加藤昭雄   |         8 | 2012-12-26 |
| KA00002 | 加藤昭雄   |         8 | 2012-12-27 |
| KA00002 | 加藤昭雄   |         8 | 2012-12-28 |
| KA00003 | 神田佐知子 |         8 | 2012-12-01 |
| KA00003 | 神田佐知子 |        10 | 2012-12-02 |
| KA00003 | 神田佐知子 |         8 | 2012-12-05 |
| KA00003 | 神田佐知子 |         9 | 2012-12-06 |
| KA00003 | 神田佐知子 |         8 | 2012-12-07 |
| KA00003 | 神田佐知子 |         8 | 2012-12-08 |
| KA00003 | 神田佐知子 |         9 | 2012-12-09 |
| KA00003 | 神田佐知子 |         8 | 2012-12-12 |
| KA00003 | 神田佐知子 |        10 | 2012-12-13 |
| KA00003 | 神田佐知子 |         9 | 2012-12-14 |
| KA00003 | 神田佐知子 |         8 | 2012-12-15 |
| KA00003 | 神田佐知子 |         8 | 2012-12-16 |
| KA00003 | 神田佐知子 |         8 | 2012-12-19 |
| KA00003 | 神田佐知子 |         8 | 2012-12-20 |
| KA00003 | 神田佐知子 |         9 | 2012-12-21 |
| KA00003 | 神田佐知子 |         8 | 2012-12-22 |
| KA00003 | 神田佐知子 |        10 | 2012-12-23 |
| KA00003 | 神田佐知子 |         8 | 2012-12-26 |
| KA00003 | 神田佐知子 |         8 | 2012-12-27 |
| KA00003 | 神田佐知子 |         8 | 2012-12-28 |
| KI00001 | 木村一郎   |         8 | 2012-12-01 |
| KI00001 | 木村一郎   |        10 | 2012-12-02 |
| KI00001 | 木村一郎   |         8 | 2012-12-05 |
| KI00001 | 木村一郎   |         9 | 2012-12-06 |
| KI00001 | 木村一郎   |         8 | 2012-12-07 |
| KI00001 | 木村一郎   |         8 | 2012-12-08 |
| KI00001 | 木村一郎   |         9 | 2012-12-09 |
| KI00001 | 木村一郎   |         8 | 2012-12-12 |
| KI00001 | 木村一郎   |        10 | 2012-12-13 |
| KI00001 | 木村一郎   |         9 | 2012-12-14 |
| KI00001 | 木村一郎   |         8 | 2012-12-15 |
| KI00001 | 木村一郎   |         8 | 2012-12-16 |
| KI00001 | 木村一郎   |         8 | 2012-12-19 |
| KI00001 | 木村一郎   |         8 | 2012-12-20 |
| KI00001 | 木村一郎   |         9 | 2012-12-21 |
| KI00001 | 木村一郎   |         8 | 2012-12-22 |
| KI00001 | 木村一郎   |        10 | 2012-12-23 |
| KI00001 | 木村一郎   |         8 | 2012-12-26 |
| KI00001 | 木村一郎   |         8 | 2012-12-27 |
| KI00001 | 木村一郎   |         8 | 2012-12-28 |
| NA00001 | 中澤康代   |         8 | 2012-12-01 |
| NA00001 | 中澤康代   |         8 | 2012-12-02 |
| NA00001 | 中澤康代   |         9 | 2012-12-05 |
| NA00001 | 中澤康代   |         8 | 2012-12-06 |
| NA00001 | 中澤康代   |        10 | 2012-12-07 |
| NA00001 | 中澤康代   |         9 | 2012-12-08 |
| NA00001 | 中澤康代   |         8 | 2012-12-09 |
| NA00001 | 中澤康代   |         8 | 2012-12-12 |
| NA00001 | 中澤康代   |         8 | 2012-12-13 |
| NA00001 | 中澤康代   |         8 | 2012-12-14 |
| NA00001 | 中澤康代   |         9 | 2012-12-15 |
| NA00001 | 中澤康代   |         8 | 2012-12-16 |
| NA00001 | 中澤康代   |        10 | 2012-12-19 |
| NA00001 | 中澤康代   |         8 | 2012-12-20 |
| NA00001 | 中澤康代   |         8 | 2012-12-21 |
| NA00001 | 中澤康代   |         8 | 2012-12-22 |
| NA00001 | 中澤康代   |         8 | 2012-12-23 |
| NA00001 | 中澤康代   |        10 | 2012-12-26 |
| NA00001 | 中澤康代   |         8 | 2012-12-27 |
| NA00001 | 中澤康代   |         9 | 2012-12-28 |
| NO00001 | 野上利江   |         8 | 2012-12-01 |
| NO00001 | 野上利江   |         8 | 2012-12-02 |
| NO00001 | 野上利江   |         9 | 2012-12-05 |
| NO00001 | 野上利江   |         8 | 2012-12-06 |
| NO00001 | 野上利江   |        10 | 2012-12-07 |
| NO00001 | 野上利江   |         9 | 2012-12-08 |
| NO00001 | 野上利江   |         8 | 2012-12-09 |
| NO00001 | 野上利江   |         8 | 2012-12-12 |
| NO00001 | 野上利江   |         8 | 2012-12-13 |
| NO00001 | 野上利江   |         8 | 2012-12-14 |
| NO00001 | 野上利江   |         9 | 2012-12-15 |
| NO00001 | 野上利江   |         8 | 2012-12-16 |
| NO00001 | 野上利江   |        10 | 2012-12-19 |
| NO00001 | 野上利江   |         8 | 2012-12-20 |
| NO00001 | 野上利江   |         8 | 2012-12-21 |
| NO00001 | 野上利江   |         8 | 2012-12-22 |
| NO00001 | 野上利江   |         8 | 2012-12-23 |
| NO00001 | 野上利江   |        10 | 2012-12-26 |
| NO00001 | 野上利江   |         8 | 2012-12-27 |
| NO00001 | 野上利江   |         9 | 2012-12-28 |
| SI00001 | 清水春子   |         8 | 2012-12-01 |
| SI00001 | 清水春子   |        10 | 2012-12-02 |
| SI00001 | 清水春子   |         8 | 2012-12-05 |
| SI00001 | 清水春子   |         9 | 2012-12-06 |
| SI00001 | 清水春子   |         8 | 2012-12-07 |
| SI00001 | 清水春子   |         8 | 2012-12-08 |
| SI00001 | 清水春子   |         9 | 2012-12-09 |
